population;reagent;Annotation 1;plate;sampleID;stimulation;time;median
Tcells;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,031570494
Tcells;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,625875711
Tcells;166Er_pNFkB;Surge;27;Surge;Unstim;IC;25,33529472
Tcells;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,625635028
Tcells;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;3,77671206
CD4negCD8neg;149Sm_pCREB;Surge;27;Surge;Unstim;IC;2,925680399
CD4negCD8neg;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,118212909
CD4negCD8neg;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
CD4negCD8neg;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4negCD8neg;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4negCD8neg;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,972769022
CD4negCD8neg;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,889520526
CD4negCD8neg;164Dy_IkB;Surge;27;Surge;Unstim;IC;3,948299885
CD4negCD8neg;166Er_pNFkB;Surge;27;Surge;Unstim;IC;35,43897247
CD4negCD8neg;167Er_pERK12;Surge;27;Surge;Unstim;IC;3,381291389
CD4negCD8neg;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;4,993524075
CD4posCD8pos;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,88538003
CD4posCD8pos;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,760138094
CD4posCD8pos;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,024673823
CD4posCD8pos;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
CD4posCD8pos;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
CD4posCD8pos;155Gd_pS6;Surge;27;Surge;Unstim;IC;3,414343596
CD4posCD8pos;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;0,836099148
CD4posCD8pos;164Dy_IkB;Surge;27;Surge;Unstim;IC;4,043852329
CD4posCD8pos;166Er_pNFkB;Surge;27;Surge;Unstim;IC;32,04630661
CD4posCD8pos;167Er_pERK12;Surge;27;Surge;Unstim;IC;2,660997152
CD4posCD8pos;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;3,511560678
