Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
Bcells_150Nd_STAT5_IFNa,0.017701286093914102,1.0
intMCs_155Gd_S6_GMCSF,0.018212183868778344,1.0
CD8Tcm_159Tb_MAPKAPK2_unstim,0.01842500617281475,1.0
Granulocytes_153Eu_STAT1_IFNa,0.01860970505887295,1.0
Granulocytes_155Gd_S6_LPS,0.019721525602599797,1.0
CD4negCD8negTcells_156Gd_IkB_IFNa,0.01976142279114878,1.0
MDSCs_167Er_ERK_IL246,0.01981271332336371,1.0
CD4Tem_156Gd_IkB_IFNa,0.019856360887549242,1.0
cMCs_166Er_NFkB_IFNa,0.02028960640883436,1.0
cMCs_167Er_ERK_GMCSF,0.021122506786200052,1.0
ncMCs_149Sm_CREB_unstim,0.021160572263554552,1.0
CD4Tcm_167Er_ERK_unstim,0.021972680619595845,1.0
CD4Tem_166Er_NFkB_IFNa,0.022648780254353015,1.0
CD8Tem_159Tb_MAPKAPK2_IFNa,0.022648846697291804,1.0
CD8Tem_156Gd_IkB_unstim,0.022673213793722502,1.0
intMCs_156Gd_IkB_unstim,0.023217268861550306,1.0
ncMCs_149Sm_CREB_IFNa,0.02328092212998467,1.0
CD8Tem_149Sm_CREB_unstim,0.023436254470862734,1.0
intMCs_149Sm_CREB_GMCSF,0.0236034922972553,1.0
CD4Tem_168Er_STAT6_IL246,0.023699193965121813,1.0
Granulocytes_154Sm_STAT3_GMCSF,0.02371289279657086,1.0
CD8Teff_156Gd_IkB_IFNa,0.023853394495754708,1.0
Bcells_166Er_NFkB_IFNa,0.023974465486307637,1.0
CD56hiCD16negNK_155Gd_S6_LPS,0.024755373171499236,1.0
MDSCs_155Gd_S6_unstim,0.024778643221165263,1.0
CD8Tcm_149Sm_CREB_unstim,0.025185374308493203,1.0
CD4Teff_156Gd_IkB_unstim,0.025869311152282824,1.0
CD4negCD8negTcells_168Er_STAT6_unstim,0.026391027749870913,1.0
intMCs_151Eu_p38_LPS,0.0264931840298889,1.0
intMCs_166Er_NFkB_unstim,0.026644366858727037,1.0
pDCs_167Er_ERK_unstim,0.027315782939375526,1.0
MDSCs_149Sm_CREB_GMCSF,0.027649362054514005,1.0
intMCs_151Eu_p38_GMCSF,0.028054301907165482,1.0
