,Mann-Whitney U-test,p-value
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,3026.0,0.035912034968531265
CD4 T cells memory_tumorfront_pp38,3025.5,0.03622701663237696
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,3021.5,0.036994815757892395
CD8 T cells_intratumor_GranzymeB,3021.0,0.037391827586231975
B cells_tumorfront_area,3016.0,0.03822117817080519
Tumor proliferating_tumorfront_pSTAT1,3019.5,0.03845697991602366
Tumor proliferating_intratumor_pSTAT1,3019.0,0.038628786024002784
CD4 T cells regulatory_stromal_CD36,3018.5,0.03880086854853505
CD8 T cells_intratumor_Ki67,3017.0,0.038902749836284924
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2008.5,0.039429443496750295
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,3003.5,0.040033211724825546
Tumor non-proliferating_tumorfront_pSTAT1,3015.0,0.0402243610773793
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,3010.0,0.041513201365237486
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,3010.0,0.04169000777476169
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2015.5,0.04245982131573125
Myeloid Granulocytes_stromal_pERK,2018.0,0.04350160542418389
Tumor non-proliferating_tumorfront_Ki67,3007.0,0.04351370308431639
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,3003.0,0.04353103118558232
Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells,3006.5,0.04355723560956323
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel,2019.5,0.044144885678563166
Fibroblasts_tumorfront_CD44,3001.0,0.046127352410321176
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,3000.5,0.04625806890797151
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2998.0,0.04656453954452928
CD4 T cells naive_stromal_cellfrequency,2999.0,0.04694335165006721
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,2050.5,0.047300000378792305
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,2982.0,0.04745252439236148
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,2993.0,0.04755829454590025
CD8 T cells_intratumor_pS6,2996.0,0.04781309211762079
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,2994.5,0.04848391504174008
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,2030.0,0.04887173340027464
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,2981.0,0.04904877841936857
CD4 T cells regulatory_stromal_area,2992.5,0.049996994334880945
CD4 T cells regulatory_tumorfront_pERK,2991.0,0.05033466799222847
Tumor non-proliferating_stromal_Ki67,2036.0,0.05134830240817421
