,Fold selected features,Fold nb of features
Fold 129,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 130,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 131,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 132,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 133,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 134,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 135,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 136,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 137,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 138,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 139,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 140,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 141,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 142,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 143,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 144,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 145,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 146,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 147,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 148,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 149,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 150,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 151,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 152,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 153,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 154,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 155,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 156,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 157,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 158,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 159,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 160,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 161,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 162,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 163,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 164,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 165,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 166,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 167,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 168,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 169,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 170,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 171,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 172,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 173,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 174,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 175,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 176,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 177,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 178,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 179,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 180,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 181,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 182,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 183,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 184,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 185,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'MAPKAPK2']",6
Fold 186,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 187,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 188,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 189,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 190,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 191,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 192,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 193,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 194,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 195,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 196,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 197,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
Fold 198,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",6
Fold 199,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'MAPKAPK2']",7
