cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
CCR5posCCR2posCD8Tem_STAT1_IFNa,13.795689682421695,-16.873627160315205,1.7664645361823517e-10,-5.141810148314222e-5,-0.0010404594656471162,quadratic,deceleration/increase
CCR5posCCR2posCD8Tem_STAT3_IFNa,93.08215344394576,87.56637227938567,6.515418000489215e-4,-8.960882971813777e-5,-0.006483243452954626,quadratic,deceleration/increase
CCR5posCCR2posCD8Tem_S6_IFNa,617.4123067845319,-616.1707829393074,0.09151199981929421,2.5690076794061628e-6,3.814303546633762e-4,quadratic,acceleration/increase
CCR5posCCR2posCD8Tem_IkB_IFNa,613.7625067846689,-611.8326141914164,0.21245803374612401,7.917280494581076e-7,1.739433793982909e-4,quadratic,acceleration/increase
CCR5posCCR2posCD8Tem_MAPKAPK2_IFNa,742.8678262291058,-742.7226442358105,0.23536415011405526,-2.6170657268859366e-6,-1.9857164322209392e-4,quadratic,deceleration/increase
CCR5posCCR2posCD8Tem_NFkB_IFNa,430.936008219636,-431.18971657737177,0.10230880992329087,8.3291776543295215e-06,5.987626783073555e-4,quadratic,deceleration/decrease
CCR5posCCR2posCD8Tem_ERK_IFNa,547.4472921375478,-546.2081300685429,0.29789374300166865,-3.2643035670607197e-6,-2.207619544940615e-4,quadratic,deceleration/increase
CCR5posCCR2posCD8Tem_STAT6_IFNa,255.60202839754805,-261.9454287697212,0.016735346810234256,-2.8797579077938344e-5,-0.0028109698302488857,quadratic,deceleration/increase
CD69posCD8Tmem_CREB_IFNa,746.2483109541903,-744.6716839219865,0.005469233271630029,-1.2461882332622005e-6,1.780631570930269e-5,quadratic,deceleration/increase
CD69posCD8Tmem_STAT5_IFNa,72.09059765770617,69.37511965978456,0.00821836918358699,-6.317627174769561e-5,-0.004558238826199648,quadratic,deceleration/increase
CD69posCD8Tmem_p38_IFNa,505.0526402060715,-507.37423900504893,0.09929463818859034,-8.83886724566289e-6,-8.112673927622824e-4,quadratic,deceleration/increase
