,Mann-Whitney U-test,p-value
CD4 T cells naive_tumorfront_pSTAT3,866.5,0.006208146382642882
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,864.0,0.00650839935532526
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD8.T.cells,866.5,0.006567380716113538
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,852.0,0.00661424750341016
B cells_tumorfront_VEGF,857.5,0.0066262169349653515
Tumor proliferating_tumorfront_E-Cadherin,866.5,0.006641987576092566
CD8 T cells_stromal_pSTAT3,865.5,0.0068720179952762
Myeloid DCs_tumorfront_pSTAT3,865.0,0.006996596182255602
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,863.0,0.0070178655752071994
Tumor proliferating_tumorfront_celldistance,864.5,0.007117880175102311
CD4 T cells regulatory_stromal_pSTAT3,864.0,0.007224959646500199
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,860.0,0.0072368949043586485
B cells_tumorfront_CD36,854.0,0.0072627925973701105
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,861.5,0.007466792811434132
CD4 T cells naive_tumorfront_CD36,860.5,0.0076530280841234
CD8 T cells_tumorfront_GranzymeB,861.0,0.008006867584065653
Vessel_stromal_CD44,861.0,0.008025340013656321
Myeloid M1 macrophages_stromal_aggregatedNeighbors.B.cells,857.5,0.008039744548501994
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,859.5,0.008073406378557715
CD4 T cells naive_tumorfront_E-Cadherin,858.5,0.008197750827051188
Tumor non-proliferating_stromal_pERK,402.0,0.008339242293136572
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating,416.0,0.008460753665225647
CD4 T cells regulatory_tumorfront_CD36,858.5,0.008642425792765897
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,858.5,0.008729521084760697
B cells_tumorfront_CD44,849.5,0.008808904773427825
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,856.0,0.008823358540517565
CD8 T cells_tumorfront_aggregatedNeighbors.B.cells,838.0,0.008982908243221682
CD8 T cells_tumorfront_pNFkB,857.0,0.009167008077128324
Myeloid Granulocytes_stromal_pSTAT3,857.0,0.009175784709552676
B cells_tumorfront_pSTAT3,847.0,0.009309661438592114
CD8 T cells_intratumor_pSTAT1,852.0,0.009374618282733008
CD8 T cells_intratumor_Ki67,852.0,0.009374618282733008
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,843.5,0.009419735669357372
Myeloid Monocytes_tumorfront_cellfrequency,856.0,0.009494547218376734
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,854.5,0.009565071050834796
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,820.0,0.009693298468734799
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,824.5,0.009758252633097835
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,855.0,0.009820627866000001
