,Mann-Whitney U-test,p-value
Tumor proliferating_tumorfront_pMAPKAPK2,544.0,0.35816028626613694
CD4 T cells memory_tumorfront_pSTAT3,544.0,0.35816028626613694
Fibroblasts_tumorfront_pSTAT1,704.0,0.3582408949647007
Myeloid M2 macrophages_stromal_CD36,703.5,0.3612679306897255
Myeloid DCs_stromal_E-Cadherin,545.0,0.3628504458317092
Myeloid M2 macrophages_tumorfront_VEGF,545.0,0.36409374561569896
B cells_stromal_CD44,702.0,0.3703208075671046
Tumor proliferating_intratumor_pNFkB,702.0,0.3703208075671046
Myeloid Monocytes_tumorfront_pSTAT1,701.5,0.3735523286219502
CD4 T cells regulatory_stromal_pCREB,547.0,0.37578540122142834
Tumor proliferating_intratumor_GranzymeB,548.0,0.3827975530824965
CD4 T cells memory_tumorfront_pERK,548.5,0.3860561350996754
Vessel_tumorfront_CD36,699.0,0.3892705776682581
Myeloid Monocytes_tumorfront_Ki67,550.0,0.3950126654544186
Myeloid M1 macrophages_tumorfront_pNFkB,550.5,0.3988853503180736
B cells_stromal_Ki67,551.0,0.40190600797819354
Myeloid M1 macrophages_tumorfront_CD44,697.0,0.4021270739960475
Myeloid M1 macrophages_stromal_pSTAT1,697.0,0.4021270739960475
Fibroblasts_tumorfront_CD36,695.0,0.4152349423635795
Tumor non-proliferating_intratumor_pERK,553.0,0.4152349423635795
Myeloid Monocytes_stromal_GranzymeB,553.0,0.4152349423635795
Myeloid DCs_stromal_Ki67,554.0,0.4173957865999264
Vessel_tumorfront_Ki67,554.0,0.4218824588426905
CD4 T cells naive_tumorfront_pSTAT1,693.0,0.4285532484019927
Myeloid DCs_stromal_pSTAT3,556.0,0.43395689833938356
Myeloid M2 macrophages_tumorfront_pNFkB,556.0,0.4351474486327247
CD8 T cells_tumorfront_GranzymeB,692.0,0.4353592729737674
Myeloid M1 macrophages_stromal_pMAPKAPK2,557.0,0.4421955968088217
Myeloid Monocytes_stromal_E-Cadherin,557.0,0.4421955968088217
CD4 T cells memory_tumorfront_GranzymeB,557.5,0.4455965665710562
Myeloid DCs_stromal_pSTAT1,558.0,0.4469476729858053
Myeloid Monocytes_stromal_pSTAT3,558.0,0.4490890193715916
Tumor non-proliferating_intratumor_pp38,690.0,0.4490890193715916
CD4 T cells regulatory_tumorfront_CD36,689.0,0.450133613557243
Myeloid M2 macrophages_tumorfront_CD36,689.0,0.4558313919913868
Myeloid DCs_stromal_CD36,559.5,0.4578221530277322
Myeloid DCs_stromal_pERK,559.5,0.4578221530277322
Tumor non-proliferating_stromal_CD44,688.5,0.45846305586920044
CD4 T cells memory_stromal_pERK,559.5,0.45953881936878493
B cells_tumorfront_pSTAT3,685.5,0.45956000261823904
Fibroblasts_tumorfront_pp38,560.0,0.46305714837905776
CD4 T cells memory_stromal_CD36,687.5,0.46658291139981767
Tumor proliferating_intratumor_Ki67,561.0,0.4700007041038249
Myeloid M1 macrophages_tumorfront_VEGF,561.0,0.4701310258088036
CD4 T cells regulatory_tumorfront_Ki67,564.0,0.47938178162772693
CD8 T cells_tumorfront_pSTAT3,563.0,0.4844525240017341
B cells_stromal_pSTAT1,684.0,0.4915793868561189
CD4 T cells naive_tumorfront_pMAPKAPK2,564.5,0.49534979921416245
CD8 T cells_intratumor_pCREB,682.0,0.5055941876531955
Tumor proliferating_tumorfront_VEGF,566.0,0.5063088938023322
CD4 T cells regulatory_stromal_GranzymeB,567.0,0.5127900180601587
Tumor proliferating_tumorfront_E-Cadherin,681.0,0.5137318699568738
CD8 T cells_tumorfront_pCREB,567.0,0.5137989381714889
Vessel_tumorfront_pNFkB,567.0,0.5138024673158623
Tumor non-proliferating_tumorfront_pp38,567.0,0.5138024673158623
Myeloid M2 macrophages_stromal_pp38,567.5,0.5175312085672179
Myeloid DCs_stromal_GranzymeB,569.0,0.5275524306864336
Myeloid Granulocytes_stromal_pSTAT1,569.5,0.5320348891124579
CD4 T cells regulatory_stromal_pNFkB,570.0,0.5354241301014051
B cells_tumorfront_pp38,676.0,0.5390424340064646
Myeloid M2 macrophages_tumorfront_pSTAT3,677.0,0.543489727733761
B cells_tumorfront_Ki67,573.0,0.5469516676913366
Myeloid M2 macrophages_stromal_pSTAT1,676.5,0.5478864438149468
