,Mann-Whitney U-test,p-value
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,567.5,0.4362929099908195
Myeloid DCs_tumorfront_aggregatedNeighbors.Vessel,560.0,0.4410662744727537
Myeloid M2 macrophages_stromal_aggregatedNeighbors.B.cells,558.0,0.44121971805564086
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,557.5,0.4429765761953095
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,679.5,0.44451272560414745
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,567.0,0.4544807900596416
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,689.0,0.4559485648089019
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,661.5,0.4594931590504078
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Granulocytes,566.5,0.45949410198148255
B cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,580.5,0.4612730428726244
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,563.5,0.4646600142412268
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive,560.5,0.46595037140771534
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,687.5,0.46656796562081415
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,561.0,0.46930654321278475
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,686.0,0.4747162082107008
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,686.0,0.47713489005201437
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel,562.0,0.4772531137089209
B cells_tumorfront_aggregatedNeighbors.Myeloid.DCs,662.5,0.48557142689578614
B cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,589.5,0.4966896852196149
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,682.0,0.49797438125901106
Myeloid DCs_tumorfront_aggregatedNeighbors.Fibroblasts,675.5,0.49957259698370937
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,679.0,0.5020390442344622
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,567.0,0.5043387976348819
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,566.0,0.5063695024046069
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,567.5,0.5068232747942317
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,566.5,0.5080680257173962
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel,566.5,0.5100665337907271
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,570.0,0.5123011355621747
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,681.0,0.5137565824985613
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,681.0,0.5138024673158623
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,670.5,0.522521145852457
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,569.0,0.5275419823925138
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells,678.0,0.5301487390905271
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,592.5,0.5354333814620301
Myeloid Granulocytes_stromal_aggregatedNeighbors.Vessel,570.0,0.5355409690472195
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,570.5,0.5362599058414923
CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells,677.5,0.5400969410640946
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,588.5,0.5487107921276413
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,675.5,0.5495923410472778
Myeloid DCs_tumorfront_aggregatedNeighbors.B.cells,591.0,0.5508764726684123
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,577.0,0.5531110045607268
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,573.0,0.5535469322839824
Vessel_tumorfront_aggregatedNeighbors.B.cells,575.0,0.5545833220030354
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,572.5,0.5555806529864111
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,580.0,0.5557748846684729
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,578.0,0.5583402800053565
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,675.0,0.558534394511263
Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating,589.5,0.5601829798617506
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,668.0,0.5603890559630269
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,674.5,0.5633218730104791
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,674.0,0.5646196369609853
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,672.0,0.5664139043942347
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,580.5,0.5691833948360343
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,671.0,0.570898304982397
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells,648.0,0.5734646501343434
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,575.5,0.5790297341038836
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,575.5,0.5790679245141077
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,579.5,0.5877073426782937
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating,596.5,0.5893572298949875
Myeloid Monocytes_tumorfront_aggregatedNeighbors.B.cells,585.5,0.5973238562361178
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,663.5,0.5973375660120954
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,669.5,0.6029352714929501
CD8 T cells_intratumor_aggregatedNeighbors.Tumor.proliferating,580.5,0.6037669069005495
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory,580.0,0.608951722447698
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,665.5,0.6133130445420827
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,584.5,0.6216719688663904
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,667.0,0.6216825337358536
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,667.0,0.6232977433436484
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel,581.5,0.6233955473229188
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,581.5,0.6268956571412205
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,582.0,0.6276304128823882
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,592.0,0.633830091572934
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,665.0,0.6378325073409614
Vessel_stromal_aggregatedNeighbors.B.cells,583.0,0.6391454642802573
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,664.5,0.6438991549905047
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,586.0,0.6477528586453178
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,587.0,0.6509567998113778
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Fibroblasts,585.0,0.6558320884797693
B cells_tumorfront_aggregatedNeighbors.B.cells,589.5,0.659059009309706
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,660.5,0.6652700569080491
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,586.5,0.6663972083994938
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,586.5,0.6687207318175095
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,593.5,0.6721870208098754
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,652.5,0.6779406853604382
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,660.0,0.6815717612000836
Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,588.5,0.6853080101622228
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,588.5,0.6857257470978638
CD4 T cells memory_stromal_aggregatedNeighbors.Fibroblasts,659.5,0.6858629618489733
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,589.5,0.6910908111828771
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,655.5,0.697042632766701
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Fibroblasts,654.5,0.6995813630835346
Myeloid DCs_stromal_aggregatedNeighbors.CD8.T.cells,591.5,0.7016177519605555
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.DCs,595.0,0.7088344202552196
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,653.5,0.7091862554117723
Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.DCs,650.5,0.7137907307149103
