,coor1,coor2,cluster,pvalue_anova
MDSC_STAT1,-21.2106,-5.900871,3,0.2159707558223069
DC_STAT1,-21.567175,-4.5565815,3,0.9225824020507154
mDC_STAT1,-21.005468,-4.510399,3,0.7592005017040427
pDC_STAT1,-23.197683,-5.2624125,3,0.01388828721114142
intMC_STAT1,-20.73768,-5.1211915,3,0.43282876036401097
ncMC_STAT1,-22.480576,-6.1400576,3,0.42474281909118217
NK_STAT1,-22.087883,-5.1753793,3,0.24598796381915902
CD56brightCD16negNK_STAT1,-23.135715,-4.0961657,3,0.6896859393726543
CD56dimCD16posNK_STAT1,-22.465693,-5.3834167,3,0.20829252536347487
gdT_STAT1,-24.198101,-4.705148,3,0.29167180772055395
Tcells_STAT1,-22.235554,-4.7284164,3,1.0
CD4T_STAT1,-22.650827,-4.8556614,3,0.43598264214142923
CD4Tnaive_STAT1,-21.905529,-4.535439,3,0.2713190902141046
CD4Tmem_STAT1,-22.482046,-4.3929515,3,0.20889085652291287
Treg_STAT1,-21.767221,-3.8508832,3,0.61567145183264
Tregnaive_STAT1,-24.82142,-4.796356,3,0.10692289330148756
Tregmem_STAT1,-21.577547,-3.7586608,3,0.7384410070863496
Th1_STAT1,-22.339743,-3.3529298,3,0.8843829309243889
Th1mem_STAT1,-22.045952,-3.423437,3,0.9579567881362928
Th1naive_STAT1,-24.445343,-3.5096095,3,0.7368875944514526
Th2_STAT1,-24.08509,-5.111959,3,0.29952289643053615
CD8T_STAT1,-21.577114,-4.972156,3,0.2731824840706103
CD8Tmem_STAT1,-22.294758,-6.6970916,3,0.24778386732952068
CD8Tnaive_STAT1,-22.857414,-4.5698013,3,0.03818280328721164
Granulocytes_STAT3,-13.697148,1.1238459,5,0.008471065285908625
Bcells_STAT3,-22.856749,-3.1997807,3,0.513572474745418
Bmem_STAT3,-20.15902,-4.514208,3,0.8323282886995551
Bnaive_STAT3,-23.77593,-2.396852,3,0.7993641464140345
Baso_STAT3,-18.924524,-4.120217,3,0.4654488509155126
cMC_STAT3,-13.073156,-0.029921472,5,0.011793479383601731
MDSC_STAT3,-13.1554985,-0.0028275107,5,0.25836975249410793
DC_STAT3,-18.892609,-3.0690823,3,0.06987633927094747
mDC_STAT3,-14.265223,0.39760706,5,0.22429964782302025
pDC_STAT3,-15.758614,-0.26497576,5,0.17943431729113002
intMC_STAT3,-13.638328,0.08594532,5,0.029104246339769938
ncMC_STAT3,-15.537761,-0.3709392,5,0.04213251144109532
NK_STAT3,-20.809994,-3.1412404,3,0.3529008388502929
CD56brightCD16negNK_STAT3,-21.788546,-2.4923942,3,0.04193103929047457
CD56dimCD16posNK_STAT3,-20.753304,-3.562756,3,0.19942765759139575
gdT_STAT3,-19.887938,-3.3462684,3,0.01799352624909177
Tcells_STAT3,-14.022203,2.5233884,5,0.038641993143422655
CD4T_STAT3,-13.26078,3.2974634,5,0.00919759776913433
CD4Tnaive_STAT3,-12.444777,3.9825249,5,0.004147868222164745
CD4Tmem_STAT3,-13.679338,2.7341974,5,0.009271380322787888
Treg_STAT3,-13.291922,2.2505527,5,0.014364051824130227
Tregnaive_STAT3,-12.369849,3.8509877,5,0.00014437380134543396
Tregmem_STAT3,-13.338246,2.167698,5,0.01539034366879542
Th1_STAT3,-14.746653,2.362321,5,0.0733627167519036
Th1mem_STAT3,-14.845265,2.2509706,5,0.15726643025043976
Th1naive_STAT3,-13.4127865,3.8560383,5,0.08248227371047889
Th2_STAT3,-12.91652,2.513495,5,0.05753707628052724
CD8T_STAT3,-20.082495,-1.3613623,3,0.53422687598371
CD8Tmem_STAT3,-20.346117,-2.43459,3,0.9207207777623886
CD8Tnaive_STAT3,-19.364368,-0.8749018,3,0.062355961682048065
Granulocytes_STAT5,-6.780376,-2.5604203,4,0.29334654736571125
Bcells_STAT5,-16.170149,-4.214624,8,0.9863537983087879
Bmem_STAT5,-15.102286,-4.925845,8,0.23810599235241162
Bnaive_STAT5,-15.78272,-4.6263933,8,0.20936560146230748
Baso_STAT5,3.2536054,-1.8987097,9,0.25705619298971993
cMC_STAT5,-6.931032,-3.9737122,4,0.2865298612072499
MDSC_STAT5,-6.9042835,-4.009689,4,0.6902192808683014
DC_STAT5,-16.801397,-5.950224,8,0.32982508284624146
mDC_STAT5,-10.05418,-4.428531,8,0.7674669749134871
pDC_STAT5,-7.124417,-2.7451663,4,0.6311560397312996
intMC_STAT5,-6.47385,-3.548305,4,0.5742088636984366
ncMC_STAT5,-10.492186,-4.6479325,8,0.7890815090344863
