,Fold selected features,Fold nb of features
Fold 57,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD8 T cells_intratumor_area']",7
Fold 58,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD8 T cells_intratumor_area', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 59,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD8 T cells_intratumor_area', 'Vessel_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance']",7
Fold 60,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Vessel_tumorfront_eccentricity', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating']",8
Fold 61,"['Tumor non-proliferating_intratumor_cellfrequency', 'CD8 T cells_intratumor_area', 'Myeloid Monocytes_tumorfront_celldistance']",3
Fold 62,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD8 T cells_intratumor_area']",7
Fold 63,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",6
Fold 64,"['Tumor non-proliferating_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_Ki67', 'Tumor non-proliferating_intratumor_area']",4
Fold 65,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Myeloid Monocytes_tumorfront_celldistance']",10
Fold 66,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'CD8 T cells_intratumor_area']",3
Fold 67,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_intratumor_area', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating']",9
Fold 68,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells memory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Fibroblasts_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance']",9
Fold 69,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",6
Fold 70,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Vessel_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance']",4
Fold 71,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 72,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating']",9
Fold 73,"['Tumor non-proliferating_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",6
Fold 74,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Myeloid Monocytes_tumorfront_celldistance']",6
Fold 75,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor proliferating_tumorfront_area', 'CD8 T cells_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",8
Fold 76,"['Tumor non-proliferating_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells naive_stromal_area']",5
Fold 77,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor proliferating_tumorfront_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance']",10
Fold 78,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",6
Fold 79,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Myeloid Monocytes_tumorfront_celldistance']",4
Fold 80,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",7
Fold 81,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor non-proliferating_intratumor_area']",5
Fold 82,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Vessel_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",7
Fold 83,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Vessel_tumorfront_eccentricity']",8
Fold 84,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid Monocytes_tumorfront_celldistance']",3
Fold 85,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 86,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD8 T cells_intratumor_area']",6
Fold 87,"['Tumor non-proliferating_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 88,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_area', 'Myeloid Monocytes_tumorfront_celldistance']",5
Fold 89,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_GranzymeB', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance']",8
