,Fold selected features,Fold nb of features
Fold 120,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 121,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 122,['IkB'],1
Fold 123,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 124,['IkB'],1
Fold 125,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 126,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 127,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 128,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 129,"['STAT5', 'IkB']",2
Fold 130,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 131,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 132,"['CREB', 'NFkB', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",9
Fold 133,['IkB'],1
Fold 134,"['STAT6', 'STAT5', 'IkB']",3
Fold 135,"['NFkB', 'IkB']",2
Fold 136,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 137,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 138,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 139,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 140,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 141,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 142,['IkB'],1
Fold 143,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
Fold 144,"['CREB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB']",10
