,Mann-Whitney U-test,p-value
Myeloid M2 macrophages_stromal_pMAPKAPK2,2690.0,0.4694841427037577
Myeloid M1 macrophages_stromal_pS6,2337.0,0.4745209627227658
CD4 T cells naive_stromal_Ki67,2687.0,0.47679079542417
CD8 T cells_stromal_pERK,2338.0,0.4770402864474632
Myeloid M1 macrophages_stromal_pMAPKAPK2,2686.0,0.47958497514668397
Myeloid DCs_tumorfront_pERK,2685.0,0.4809311775801254
Myeloid Monocytes_tumorfront_E-Cadherin,2677.0,0.5027111425882897
B cells_stromal_Ki67,2676.5,0.5030085602619296
Tumor non-proliferating_tumorfront_pSTAT1,2676.0,0.5053444966220214
CD4 T cells regulatory_tumorfront_GranzymeB,2674.0,0.5083703428351871
Myeloid M1 macrophages_tumorfront_pSTAT1,2674.0,0.5105819317820428
Myeloid DCs_tumorfront_pSTAT3,2673.0,0.5114098563709788
CD4 T cells naive_stromal_pS6,2354.0,0.5182925641627696
B cells_stromal_GranzymeB,2669.0,0.5230280150678734
Myeloid DCs_tumorfront_pSTAT1,2668.0,0.525038814917216
Myeloid DCs_stromal_pSTAT3,2667.0,0.5289395111954971
Fibroblasts_tumorfront_pMAPKAPK2,2359.0,0.5318142634260747
CD4 T cells naive_tumorfront_pCREB,2665.0,0.5339288339752244
Tumor non-proliferating_stromal_CD36,2361.0,0.5360785502156391
Myeloid Monocytes_stromal_pMAPKAPK2,2664.0,0.5371895807371057
Myeloid DCs_stromal_E-Cadherin,2663.0,0.5396966520802011
Myeloid M2 macrophages_tumorfront_pSTAT3,2663.0,0.5398199172185913
CD8 T cells_tumorfront_pSTAT1,2663.0,0.539854328881896
B cells_tumorfront_Ki67,2655.0,0.5469850502419431
Myeloid M2 macrophages_tumorfront_GranzymeB,2660.0,0.5480031836668592
Myeloid M2 macrophages_tumorfront_pS6,2366.0,0.5507289101910458
Myeloid Monocytes_tumorfront_VEGF,2658.5,0.5520826051509822
Fibroblasts_tumorfront_CD36,2654.0,0.5644796196873876
CD4 T cells memory_tumorfront_E-Cadherin,2653.5,0.5658471093251289
Myeloid Granulocytes_stromal_VEGF,2653.0,0.5671285279197985
CD8 T cells_stromal_pSTAT3,2652.0,0.5700082035084819
Myeloid Monocytes_tumorfront_pSTAT3,2651.5,0.5713379540631369
Tumor proliferating_tumorfront_pp38,2651.5,0.5713706202519835
CD4 T cells memory_stromal_GranzymeB,2649.5,0.5769693287865616
CD4 T cells regulatory_stromal_pERK,2379.5,0.5876661141748929
CD8 T cells_stromal_Ki67,2645.0,0.5895821874261173
