,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
CD4Tnaive_153Eu_STAT1_IFNa,0.0099245458156582,0.9040581626396476,0.0,0.0,279,0.0,0.0,751,0.0,0.0,275,396.0
pDCs_159Tb_MAPKAPK2_GMCSF,0.0718283970149767,0.3823991381946529,0.0,0.0,392,0.0,0.0,640,0.0013709695897939562,0.0005723566277115044,160,396.0
cMCs_149Sm_CREB_GMCSF,0.2149685118510024,0.0082478888807074,0.0,0.0,496,0.0,0.0,70,0.0,0.0,524,396.5
mDCs_149Sm_CREB_IFNa,0.1371369552305562,0.0942400589817257,0.0,0.0,479,0.0,0.0,180,0.0,0.0,449,396.75
CD4Tnaive_150Nd_STAT5_IL246,0.0267357051390164,0.7453604319254601,0.0,0.0,379,0.0,0.0,648,0.0004161016393760121,5.310857760048591e-05,181,396.75
CD4Tcm_168Er_STAT6_IFNa,0.1382625006783481,0.0915435778518432,0.0,0.0,475,0.0,0.0,185,0.0,0.0,453,397.0
CD56hiCD16negNK_166Er_NFkB_unstim,-0.0076930737256698,0.9255590130031914,0.0,0.0,286,0.0,0.0,758,0.0,0.0,261,397.75
CD56hiCD16negNK_150Nd_STAT5_IFNa,-0.1381072544256969,0.0919118118091907,0.0,0.0,476,0.0,0.0,186,0.0,0.0,454,398.0
CD4Tcm_166Er_NFkB_IL246,0.2126640775692675,0.0089814046857802,0.0,0.0,498,0.0,0.0,72,0.0,0.0,525,398.25
CD4Tcm_155Gd_S6_IL246,0.2176143438041054,0.0074715505618209,0.0,0.0,494,0.0,0.0,67,0.0,0.0,541,399.0
CD4Tnaive_159Tb_MAPKAPK2_unstim,0.1380473490208713,0.092054218090097,0.0,0.0,477,0.0,0.0,187,0.0,0.0,455,399.0
intMCs_155Gd_S6_GMCSF,0.2111793533213905,0.0094840076637275,0.0,0.0,499,0.0,0.0,73,0.0,0.0,526,399.25
CD8Tcm_159Tb_MAPKAPK2_unstim,0.2161094112774095,0.0079047692827666,0.0,0.0,495,0.0,0.0,69,0.0,0.0,540,399.75
CD4Tcm_168Er_STAT6_unstim,0.0074698521740494,0.9277130392301852,0.0,0.0,287,0.0,0.0,750,0.0,0.0,276,400.0
cMCs_166Er_NFkB_GMCSF,0.2111740189827754,0.0094858573004707,0.0,0.0,500,0.0,0.0,74,0.0,0.0,527,400.25
