UOP;Mann-Whitney U-test;p-value;;;STANFORD;Mann-Whitney U-test;p-value
CD4 T cells memory_tumorfront_GranzymeB;557.5;0.4455965665710562;;;CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;757.0;0.144723133746576
Myeloid DCs_stromal_pSTAT1;558.0;0.4469476729858053;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells;756.5;0.14497295317464615
Tumor non-proliferating_intratumor_pp38;690.0;0.4490890193715916;;;Tumor proliferating_intratumor_CD36;757.0;0.1452947562189923
Myeloid Monocytes_stromal_pSTAT3;558.0;0.4490890193715916;;;CD4 T cells regulatory_stromal_pERK;757.0;0.14551104263188877
CD4 T cells regulatory_tumorfront_CD36;689.0;0.450133613557243;;;CD4 T cells memory_stromal_pCREB;757.0;0.1456968320016868
Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating;567.0;0.4544807900596416;;;Fibroblasts_tumorfront_pCREB;757.0;0.14570020929017252
Myeloid M2 macrophages_tumorfront_CD36;689.0;0.4558313919913868;;;CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs;753.0;0.14590208972479102
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts;689.0;0.4559485648089019;;;CD4 T cells naive_tumorfront_eccentricity;755.5;0.14720920738705698
Myeloid DCs_stromal_CD36;559.5;0.4578221530277322;;;Myeloid M2 macrophages_stromal_pp38;756.0;0.1489114480021772
Myeloid DCs_stromal_pERK;559.5;0.4578221530277322;;;Vessel_tumorfront_Ki67;756.0;0.1489114480021772
Tumor non-proliferating_stromal_CD44;688.5;0.45846305586920044;;;CD4 T cells memory_stromal_Ki67;755.0;0.15216269473456365
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;661.5;0.4594931590504078;;;CD4 T cells memory_stromal_E-Cadherin;755.0;0.15217300320696883
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Granulocytes;566.5;0.45949410198148255;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes;751.5;0.15226416894496325
CD4 T cells memory_stromal_pERK;559.5;0.45953881936878493;;;B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;752.5;0.1524058679460759
B cells_tumorfront_pSTAT3;685.5;0.45956000261823904;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating;751.0;0.15397996623682683
B cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;580.5;0.4612730428726244;;;CD4 T cells memory_stromal_CD36;754.0;0.15549217902787427
Fibroblasts_tumorfront_pp38;560.0;0.46305714837905776;;;Myeloid DCs_stromal_pCREB;754.0;0.15549564389956802
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory;563.5;0.4646600142412268;;;CD8 T cells_stromal_pNFkB;753.5;0.1571409260900958
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive;560.5;0.46595037140771534;;;CD4 T cells naive_stromal_CD36;753.0;0.15759603231691788
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;687.5;0.46656796562081415;;;Myeloid Granulocytes_tumorfront_pS6;753.0;0.15883458240684278
CD4 T cells memory_stromal_CD36;687.5;0.46658291139981767;;;Myeloid M1 macrophages_tumorfront_CD44;753.0;0.1588695156478167
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;561.0;0.46930654321278475;;;Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;738.5;0.16305996846550908
Tumor proliferating_intratumor_Ki67;561.0;0.4700007041038249;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;749.5;0.16377890660621464
Myeloid M1 macrophages_tumorfront_VEGF;561.0;0.4701310258088036;;;CD4 T cells naive_stromal_eccentricity;751.0;0.1644893018573651
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells;686.0;0.4747162082107008;;;Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;751.0;0.164973174055715
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;686.0;0.47713489005201437;;;Tumor non-proliferating_intratumor_pSTAT1;751.0;0.16578304030436286
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Vessel;562.0;0.4772531137089209;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;749.0;0.1687923017271743
CD4 T cells regulatory_tumorfront_Ki67;564.0;0.47938178162772693;;;CD4 T cells regulatory_tumorfront_pp38;750.0;0.16889429565545655
CD8 T cells_tumorfront_pSTAT3;563.0;0.4844525240017341;;;Myeloid Monocytes_stromal_area;750.0;0.1693199890016054
B cells_tumorfront_aggregatedNeighbors.Myeloid.DCs;662.5;0.48557142689578614;;;Myeloid Monocytes_stromal_Ki67;750.0;0.1693199890016054
CD4 T cells naive_tumorfront_eccentricity;684.5;0.4880704460655304;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts;748.5;0.1698835815020504
Myeloid M2 macrophages_tumorfront_eccentricity;684.0;0.4915030596128519;;;B cells_stromal_aggregatedNeighbors.Myeloid.Monocytes;743.0;0.17025617642759439
B cells_stromal_pSTAT1;684.0;0.4915793868561189;;;Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs;749.0;0.1727187548810033
Tumor proliferating_tumorfront_cellfrequency;564.0;0.491633885516779;;;Fibroblasts_stromal_pMAPKAPK2;749.0;0.1729204968703134
CD4 T cells naive_tumorfront_pMAPKAPK2;564.5;0.49534979921416245;;;CD8 T cells_tumorfront_pMAPKAPK2;748.0;0.1764472742614639
B cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;589.5;0.4966896852196149;;;Myeloid Monocytes_stromal_pERK;748.0;0.17655974382735518
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;682.0;0.49797438125901106;;;Tumor non-proliferating_tumorfront_CD44;512.0;0.17657425353073686
Myeloid DCs_tumorfront_aggregatedNeighbors.Fibroblasts;675.5;0.49957259698370937;;;Myeloid Monocytes_stromal_aggregatedNeighbors.B.cells;741.0;0.17797990356055693
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells;679.0;0.5020390442344622;;;Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;747.5;0.1782150272872426
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory;567.0;0.5043387976348819;;;CD4 T cells naive_tumorfront_pSTAT1;746.5;0.17859335231803986
CD8 T cells_intratumor_pCREB;682.0;0.5055941876531955;;;Myeloid Monocytes_tumorfront_pS6;747.0;0.18024871343715787
Tumor proliferating_tumorfront_VEGF;566.0;0.5063088938023322;;;Myeloid Granulocytes_stromal_area;746.5;0.18208534843906954
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes;566.0;0.5063695024046069;;;Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;742.0;0.1871197213066751
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive;567.5;0.5068232747942317;;;Myeloid Monocytes_stromal_pNFkB;745.0;0.18787678983622302
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;566.5;0.5080680257173962;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.B.cells;710.0;0.1881297149765293
CD8 T cells_tumorfront_aggregatedNeighbors.Vessel;566.5;0.5100665337907271;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;714.0;0.1892797053420896
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs;570.0;0.5123011355621747;;;CD8 T cells_stromal_area;744.5;0.18977855104156627
CD4 T cells regulatory_stromal_GranzymeB;567.0;0.5127900180601587;;;Myeloid DCs_stromal_aggregatedNeighbors.B.cells;738.0;0.19006681092803546
Tumor proliferating_tumorfront_E-Cadherin;681.0;0.5137318699568738;;;Vessel_tumorfront_pSTAT1;744.0;0.19176552165188965
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells;681.0;0.5137565824985613;;;CD4 T cells regulatory_stromal_eccentricity;742.5;0.19757179002064573
CD8 T cells_tumorfront_pCREB;567.0;0.5137989381714889;;;CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Monocytes;741.5;0.1980523471914285
Vessel_tumorfront_pNFkB;567.0;0.5138024673158623;;;Myeloid DCs_tumorfront_pS6;742.0;0.19971224082944983
Tumor non-proliferating_tumorfront_pp38;567.0;0.5138024673158623;;;CD4 T cells naive_stromal_aggregatedNeighbors.Vessel;741.0;0.201637119734971
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts;681.0;0.5138024673158623;;;B cells_stromal_aggregatedNeighbors.Vessel;740.0;0.2034910422027345
Myeloid M1 macrophages_tumorfront_eccentricity;681.0;0.5138024673158623;;;CD8 T cells_tumorfront_pSTAT1;741.0;0.20364192507438517
Myeloid M2 macrophages_stromal_pp38;567.5;0.5175312085672179;;;CD4 T cells memory_stromal_aggregatedNeighbors.Vessel;519.0;0.2037556822242913
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;670.5;0.522521145852457;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;740.5;0.20550876312178457
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;569.0;0.5275419823925138;;;Tumor non-proliferating_stromal_VEGF;520.0;0.206506363944857
Myeloid DCs_stromal_GranzymeB;569.0;0.5275524306864336;;;Myeloid Monocytes_stromal_eccentricity;740.0;0.2078930361960074
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD8.T.cells;678.0;0.5301487390905271;;;Vessel_tumorfront_pCREB;740.0;0.20789684799610975
Myeloid Granulocytes_stromal_pSTAT1;569.5;0.5320348891124579;;;B cells_tumorfront_Ki67;735.0;0.20940928449173868
CD4 T cells regulatory_stromal_pNFkB;570.0;0.5354241301014051;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Fibroblasts;521.0;0.2119412230674298
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs;592.5;0.5354333814620301;;;Myeloid Granulocytes_tumorfront_GranzymeB;521.0;0.21204087804333904
Myeloid Granulocytes_stromal_aggregatedNeighbors.Vessel;570.0;0.5355409690472195;;;Myeloid Monocytes_tumorfront_pERK;739.0;0.21204087804333904
Tumor non-proliferating_stromal_cellfrequency;678.0;0.535650855212958;;;Myeloid DCs_tumorfront_pSTAT1;739.0;0.21207919853583468
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts;570.5;0.5362599058414923;;;CD4 T cells memory_tumorfront_pS6;738.0;0.21631815452895942
CD8 T cells_stromal_cellfrequency;678.0;0.5364042324574247;;;Myeloid DCs_stromal_pMAPKAPK2;738.0;0.21632200567889392
B cells_tumorfront_pp38;676.0;0.5390424340064646;;;Myeloid M2 macrophages_tumorfront_GranzymeB;738.0;0.21632200567889392
CD8 T cells_stromal_aggregatedNeighbors.CD8.T.cells;677.5;0.5400969410640946;;;Fibroblasts_stromal_GranzymeB;738.0;0.21632200567889392
Myeloid M2 macrophages_tumorfront_pSTAT3;677.0;0.543489727733761;;;CD4 T cells naive_tumorfront_pS6;736.5;0.2190185907373311
B cells_tumorfront_Ki67;573.0;0.5469516676913366;;;Vessel_stromal_pSTAT1;737.0;0.22062557404953675
Myeloid M2 macrophages_stromal_pSTAT1;676.5;0.5478864438149468;;;Myeloid DCs_tumorfront_GranzymeB;737.0;0.22062557404953675
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;588.5;0.5487107921276413;;;Tumor non-proliferating_intratumor_pMAPKAPK2;737.0;0.22062557404953675
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells;675.5;0.5495923410472778;;;Myeloid DCs_tumorfront_pp38;737.0;0.22062557404953675
Myeloid DCs_tumorfront_aggregatedNeighbors.B.cells;591.0;0.5508764726684123;;;Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes;736.5;0.22271877256780648
CD8 T cells_intratumor_pSTAT3;676.0;0.5510096833750282;;;Myeloid Granulocytes_tumorfront_Ki67;525.0;0.2293380537152232
Tumor non-proliferating_intratumor_pS6;676.0;0.5517451569625414;;;Myeloid DCs_stromal_pS6;735.0;0.22941615355636757
Tumor non-proliferating_tumorfront_eccentricity;572.0;0.5517451569625414;;;Tumor non-proliferating_tumorfront_pSTAT1;735.0;0.22941615355636757
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;577.0;0.5531110045607268;;;Fibroblasts_tumorfront_pp38;735.0;0.22941615355636757
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;573.0;0.5535469322839824;;;Myeloid DCs_intratumor_cellfrequency;730.0;0.23203452322355278
Vessel_tumorfront_aggregatedNeighbors.B.cells;575.0;0.5545833220030354;;;Tumor proliferating_intratumor_eccentricity;734.0;0.23343285655377632
B cells_tumorfront_CD44;674.0;0.5549179275140893;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;734.0;0.23368407367711952
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating;572.5;0.5555806529864111;;;Tumor non-proliferating_tumorfront_pMAPKAPK2;734.0;0.23390371367256635
Myeloid M2 macrophages_stromal_pNFkB;572.5;0.5556104812502003;;;Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel;526.5;0.23602135502785204
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;580.0;0.5557748846684729;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel;526.5;0.23616674673500304
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;578.0;0.5583402800053565;;;Myeloid Granulocytes_stromal_CD36;733.0;0.2383744004430206
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory;675.0;0.558534394511263;;;Myeloid Granulocytes_tumorfront_celldistance;733.0;0.2384137690851178
CD4 T cells regulatory_tumorfront_pp38;674.0;0.5585971005595516;;;Myeloid DCs_tumorfront_aggregatedNeighbors.B.cells;713.0;0.23950536534923272
Tumor proliferating_intratumor_pMAPKAPK2;573.0;0.5593803478303806;;;Myeloid Granulocytes_stromal_GranzymeB;528.0;0.24298562938872137
B cells_stromal_CD36;573.0;0.5593803478303806;;;Myeloid M1 macrophages_stromal_cellfrequency;732.0;0.24306465244179176
Myeloid Granulocytes_stromal_CD36;675.0;0.5593803478303806;;;CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes;728.5;0.24469661075392224
Myeloid DCs_stromal_aggregatedNeighbors.Tumor.non.proliferating;589.5;0.5601829798617506;;;CD4 T cells regulatory_stromal_pNFkB;731.0;0.2476592061753793
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells;668.0;0.5603890559630269;;;CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;730.5;0.247850420641042
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;674.5;0.5633218730104791;;;Vessel_tumorfront_aggregatedNeighbors.B.cells;719.0;0.24849460037458704
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;674.0;0.5646196369609853;;;B cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;696.0;0.24854849755670638
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating;672.0;0.5664139043942347;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating;718.5;0.25110099143188325
Tumor proliferating_intratumor_VEGF;574.0;0.567184792796567;;;CD8 T cells_stromal_aggregatedNeighbors.Myeloid.DCs;729.5;0.2515932723624845
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;580.5;0.5691833948360343;;;Myeloid DCs_stromal_Ki67;730.0;0.2524709234783643
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive;671.0;0.570898304982397;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes;729.5;0.25438423550832545
CD4 T cells memory_tumorfront_pNFkB;574.5;0.571187189873888;;;Myeloid M1 macrophages_tumorfront_GranzymeB;729.0;0.25727404688053856
Myeloid M1 macrophages_stromal_pSTAT3;574.5;0.5712162337306952;;;Myeloid DCs_tumorfront_eccentricity;531.0;0.25727404688053856
CD4 T cells regulatory_tumorfront_VEGF;575.5;0.5733503519048055;;;Tumor proliferating_tumorfront_CD36;728.5;0.25969321548283686
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.B.cells;648.0;0.5734646501343434;;;Myeloid Granulocytes_stromal_pERK;532.0;0.2620561172496042
CD8 T cells_intratumor_pERK;673.0;0.574446549756778;;;Myeloid Granulocytes_stromal_pNFkB;727.0;0.26698110915939877
Myeloid M2 macrophages_tumorfront_pMAPKAPK2;575.0;0.5749736735958264;;;CD8 T cells_tumorfront_aggregatedNeighbors.Vessel;533.5;0.2688763204078234
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive;575.5;0.5790297341038836;;;Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;721.0;0.26978241661768343
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;575.5;0.5790679245141077;;;CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;724.0;0.2701175812963498
Myeloid Monocytes_tumorfront_GranzymeB;575.5;0.5790965605331182;;;CD4 T cells regulatory_stromal_pS6;726.0;0.2719693899695623
Fibroblasts_stromal_eccentricity;672.0;0.5830589321407744;;;Fibroblasts_stromal_aggregatedNeighbors.Vessel;534.0;0.27204576906268196
Myeloid M1 macrophages_stromal_eccentricity;672.0;0.5830589321407744;;;Fibroblasts_tumorfront_aggregatedNeighbors.Vessel;534.5;0.2745476740953414
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;579.5;0.5877073426782937;;;CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;724.5;0.2763330262774043
Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating;596.5;0.5893572298949875;;;Myeloid M1 macrophages_stromal_Ki67;725.0;0.2771016672693848
Myeloid Monocytes_tumorfront_pMAPKAPK2;577.5;0.5950085064966725;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;723.0;0.27792315564329995
Myeloid Monocytes_tumorfront_aggregatedNeighbors.B.cells;585.5;0.5973238562361178;;;Vessel_tumorfront_aggregatedNeighbors.Fibroblasts;535.5;0.27960708058081385
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;663.5;0.5973375660120954;;;Tumor proliferating_tumorfront_area;535.5;0.27964739694633034
CD4 T cells regulatory_stromal_pSTAT1;670.0;0.5979008978822526;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;724.0;0.2812671962569384
Fibroblasts_stromal_cellfrequency;670.0;0.5990205308644496;;;Myeloid M2 macrophages_tumorfront_pS6;724.0;0.28221709023687536
Tumor non-proliferating_tumorfront_CD36;670.0;0.5990205308644496;;;Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;724.0;0.28221709023687536
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells;669.5;0.6029352714929501;;;Vessel_tumorfront_pp38;723.0;0.28739617148915886
CD8 T cells_intratumor_aggregatedNeighbors.Tumor.proliferating;580.5;0.6037669069005495;;;Myeloid DCs_tumorfront_CD44;723.0;0.28739617148915886
Tumor non-proliferating_stromal_eccentricity;579.0;0.606410175285317;;;Myeloid Granulocytes_stromal_pS6;722.0;0.29255807141381684
CD8 T cells_intratumor_cellfrequency;669.0;0.606410175285317;;;Myeloid Granulocytes_tumorfront_pNFkB;722.0;0.29259854375715577
Tumor proliferating_tumorfront_pCREB;579.0;0.6070146114663794;;;Myeloid M1 macrophages_stromal_CD36;722.0;0.2926390096790019
Tumor non-proliferating_tumorfront_Ki67;669.0;0.6070749025573434;;;Tumor proliferating_tumorfront_CD44;538.5;0.29528031560055523
Vessel_stromal_pSTAT1;579.0;0.6070749025573434;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts;721.0;0.29759304654550056
Tumor non-proliferating_tumorfront_E-Cadherin;669.0;0.6070749025573434;;;Myeloid M2 macrophages_stromal_pMAPKAPK2;721.0;0.2979456877042075
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.memory;580.0;0.608951722447698;;;Myeloid Monocytes_intratumor_cellfrequency;719.0;0.29797488994498433
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;665.5;0.6133130445420827;;;Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;720.0;0.298647648182772
CD4 T cells regulatory_tumorfront_pNFkB;667.5;0.6139343851241501;;;Tumor non-proliferating_stromal_eccentricity;540.0;0.30183633363976137
CD8 T cells_tumorfront_pS6;580.0;0.6151743185508618;;;Myeloid Monocytes_tumorfront_E-Cadherin;720.0;0.3032757318937006
Fibroblasts_tumorfront_pSTAT3;580.0;0.6151772820835655;;;Myeloid M1 macrophages_tumorfront_pS6;720.0;0.30331627248163207
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Fibroblasts;584.5;0.6216719688663904;;;Myeloid Monocytes_tumorfront_CD44;719.0;0.30871025234663263
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;667.0;0.6216825337358536;;;CD4 T cells memory_tumorfront_area;719.0;0.3087467587894689
Myeloid M2 macrophages_tumorfront_Ki67;581.0;0.6224912571356471;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts;542.0;0.31028197770236243
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;667.0;0.6232977433436484;;;CD8 T cells_intratumor_eccentricity;717.0;0.3102961774862565
Myeloid M1 macrophages_tumorfront_GranzymeB;581.0;0.6233268671790483;;;CD4 T cells regulatory_stromal_GranzymeB;718.0;0.3141681947093907
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Vessel;581.5;0.6233955473229188;;;Vessel_stromal_pNFkB;718.0;0.3142493487404233
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating;581.5;0.6268956571412205;;;Fibroblasts_stromal_pS6;718.0;0.3142493487404233
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel;582.0;0.6276304128823882;;;Myeloid DCs_tumorfront_pERK;718.0;0.3142493487404233
Myeloid Granulocytes_stromal_pMAPKAPK2;582.0;0.6314227142969044;;;Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes;561.5;0.31553811037955826
Tumor proliferating_intratumor_pp38;666.0;0.6314227142969044;;;Fibroblasts_intratumor_cellfrequency;612.0;0.32412658775761916
Tumor proliferating_tumorfront_CD36;666.0;0.6314656345353773;;;Myeloid Granulocytes_stromal_pSTAT1;716.0;0.32535731098996834
CD8 T cells_tumorfront_Ki67;666.0;0.6315199787062711;;;Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;715.0;0.3303940841222802
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;592.0;0.633830091572934;;;Tumor non-proliferating_stromal_pS6;546.0;0.3354043487187476
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory;665.0;0.6378325073409614;;;Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating;714.0;0.33686729900239476
Vessel_stromal_aggregatedNeighbors.B.cells;583.0;0.6391454642802573;;;Myeloid M2 macrophages_stromal_pNFkB;714.0;0.336883502469003
Tumor non-proliferating_intratumor_VEGF;665.0;0.6397643586602231;;;Myeloid DCs_tumorfront_pNFkB;714.0;0.336883502469003
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory;664.5;0.6438991549905047;;;Fibroblasts_tumorfront_GranzymeB;714.0;0.336883502469003
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;586.0;0.6477528586453178;;;Fibroblasts_tumorfront_CD44;714.0;0.336883502469003
Fibroblasts_tumorfront_E-Cadherin;584.0;0.6480505748555627;;;Fibroblasts_tumorfront_cellfrequency;546.0;0.336883502469003
Vessel_tumorfront_pSTAT1;664.0;0.6480505748555627;;;Tumor proliferating_tumorfront_pMAPKAPK2;713.5;0.3397806781504962
Myeloid M1 macrophages_tumorfront_pMAPKAPK2;584.0;0.6480505748555627;;;Myeloid M2 macrophages_tumorfront_area;546.5;0.3397806781504962
Vessel_tumorfront_E-Cadherin;584.0;0.6480505748555627;;;Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;705.0;0.34033651167469714
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;587.0;0.6509567998113778;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;713.0;0.34247521118867796
CD4 T cells regulatory_tumorfront_cellfrequency;585.0;0.6521526633581707;;;CD4 T cells memory_stromal_pS6;713.0;0.3426978746542535
B cells_tumorfront_pS6;586.0;0.6557593703203399;;;Vessel_stromal_cellfrequency;547.0;0.3427019210854506
CD4 T cells regulatory_stromal_CD36;663.0;0.6557860335437409;;;CD8 T cells_stromal_pS6;712.5;0.34559463429857995
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Fibroblasts;585.0;0.6558320884797693;;;Myeloid Monocytes_stromal_E-Cadherin;712.0;0.3485801403768012
B cells_tumorfront_aggregatedNeighbors.B.cells;589.5;0.659059009309706;;;Myeloid M2 macrophages_tumorfront_pNFkB;712.0;0.34858418135457314
B cells_tumorfront_pCREB;587.0;0.6643696132823828;;;Tumor non-proliferating_tumorfront_pERK;712.0;0.34858418135457314
Fibroblasts_tumorfront_cellfrequency;586.0;0.6647535978275833;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;550.0;0.35265909458116695
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs;660.5;0.6652700569080491;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs;710.5;0.35354589702985495
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating;586.5;0.6663972083994938;;;Myeloid M2 macrophages_tumorfront_pSTAT1;711.0;0.3545301972151451
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts;586.5;0.6687207318175095;;;Myeloid M2 macrophages_tumorfront_CD44;711.0;0.3545301972151451
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;593.5;0.6721870208098754;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating;709.5;0.3572569351120749
CD8 T cells_intratumor_pp38;661.0;0.6725992349643091;;;Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive;583.5;0.36007891716144
CD4 T cells memory_stromal_pSTAT1;660.5;0.6773890497305104;;;CD8 T cells_stromal_aggregatedNeighbors.Vessel;550.0;0.3604593176409526
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs;652.5;0.6779406853604382;;;Vessel_stromal_aggregatedNeighbors.Vessel;550.0;0.36053986471650135
B cells_tumorfront_pNFkB;589.0;0.6807091121429651;;;Vessel_stromal_CD36;550.0;0.36053986471650135
CD4 T cells regulatory_stromal_E-Cadherin;588.0;0.6810682968555042;;;Tumor non-proliferating_intratumor_eccentricity;550.0;0.36053986471650135
