,Mann-Whitney U-test,p-value
Fibroblasts_stromal_pSTAT3,2727.0,0.38183666956112383
CD4 T cells naive_tumorfront_pS6,2300.0,0.3858182006896772
Myeloid M2 macrophages_tumorfront_VEGF,2724.0,0.3885179470058192
CD4 T cells regulatory_tumorfront_VEGF,2723.5,0.38872943649241565
Myeloid M1 macrophages_tumorfront_pERK,2303.0,0.3930581529043162
B cells_stromal_GranzymeB,2721.0,0.3949718522432504
Myeloid Monocytes_stromal_pS6,2307.0,0.40217713859303084
CD4 T cells naive_tumorfront_pERK,2310.0,0.4085374723324181
Myeloid DCs_tumorfront_pp38,2714.0,0.4102925067546497
Vessel_stromal_CD36,2311.0,0.4114228466457348
B cells_tumorfront_E-Cadherin,2711.5,0.41324744515004264
Vessel_tumorfront_CD44,2713.0,0.41375370808999434
Fibroblasts_stromal_pSTAT1,2709.0,0.4231550008774957
CD8 T cells_stromal_E-Cadherin,2708.5,0.42433403809031345
Myeloid M2 macrophages_stromal_pMAPKAPK2,2706.5,0.42909329835254884
Myeloid DCs_stromal_pp38,2706.0,0.4300165907763134
Myeloid M1 macrophages_tumorfront_pp38,2706.0,0.4302873260693624
Myeloid DCs_tumorfront_GranzymeB,2705.0,0.4315680165701592
Tumor proliferating_intratumor_GranzymeB,2705.0,0.4326054376281413
Vessel_tumorfront_pp38,2705.0,0.4326801873496263
CD8 T cells_tumorfront_pERK,2704.0,0.435063409724047
Myeloid M2 macrophages_tumorfront_CD36,2700.0,0.4447327287725934
Myeloid DCs_tumorfront_pNFkB,2699.0,0.4461001142855505
Fibroblasts_stromal_Ki67,2327.0,0.4496444947770881
Myeloid Granulocytes_tumorfront_pSTAT1,2697.0,0.45136249661634253
Tumor non-proliferating_tumorfront_CD36,2695.0,0.45702879071312474
Myeloid M1 macrophages_tumorfront_CD36,2691.0,0.4669796448133692
Myeloid DCs_tumorfront_pERK,2689.0,0.47092879212310546
CD4 T cells naive_tumorfront_pNFkB,2689.0,0.4715488875584618
Tumor proliferating_tumorfront_pERK,2336.5,0.4732497135902932
Myeloid M1 macrophages_stromal_pS6,2337.0,0.4745209627227658
Vessel_stromal_pSTAT1,2686.0,0.4795854354961038
B cells_stromal_pCREB,2685.0,0.4818001886164476
Myeloid Granulocytes_tumorfront_E-Cadherin,2684.5,0.48308652348572256
Myeloid Granulocytes_stromal_pSTAT3,2677.0,0.5026896535270718
Myeloid M1 macrophages_stromal_pMAPKAPK2,2674.0,0.5105823747798632
Myeloid M1 macrophages_tumorfront_VEGF,2674.0,0.5105823747798632
CD8 T cells_stromal_pERK,2351.5,0.5118918426157318
CD4 T cells regulatory_stromal_pSTAT1,2669.5,0.5222965792372041
Myeloid M2 macrophages_stromal_pp38,2669.5,0.5224701152041762
Myeloid M1 macrophages_tumorfront_pSTAT3,2669.5,0.5224701152041762
Myeloid DCs_stromal_GranzymeB,2668.0,0.5263068501932275
Fibroblasts_tumorfront_pS6,2357.0,0.5264646472747926
Vessel_tumorfront_Ki67,2665.0,0.5344993627876519
Tumor non-proliferating_tumorfront_pSTAT3,2665.0,0.5344993627876519
CD4 T cells memory_stromal_GranzymeB,2663.5,0.5385389477632418
Fibroblasts_tumorfront_pp38,2663.0,0.5398900069555741
Myeloid Monocytes_tumorfront_E-Cadherin,2662.0,0.5425895751189249
Myeloid Granulocytes_stromal_pCREB,2659.0,0.5507293277269876
Myeloid Monocytes_stromal_CD36,2659.0,0.5507518729500472
Myeloid DCs_stromal_pMAPKAPK2,2658.0,0.5533332054271862
CD4 T cells naive_stromal_pNFkB,2657.0,0.5560727876134908
Tumor non-proliferating_stromal_CD36,2368.5,0.5573268253806019
